,adult.smoking.value_2014,adult.smoking.value_2015,adult.smoking.value_2016,adult.smoking.value_2017,children.in.poverty.value_2017,diabetes.value_2014,diabetes.value_2015,diabetes.value_2016,diabetes.value_2017,drug.overdose.deaths.value_2016,drug.overdose.deaths.value_2017,drug.poisoning.deaths.value_2014,drug.poisoning.deaths.value_2015,excessive.drinking.value_2016,excessive.drinking.value_2017,firearm.fatalities.value_2017,frequent.mental.distress.value_2017,frequent.physical.distress.value_2017,injury.deaths.value_2014,injury.deaths.value_2015,injury.deaths.value_2016,injury.deaths.value_2017,mammography.screening.value_2014,mammography.screening.value_2015,median.household.income.value_2016,median.household.income.value_2017,motor.vehicle.crash.deaths.value_2014,motor.vehicle.crash.deaths.value_2015,motor.vehicle.crash.deaths.value_2016,motor.vehicle.crash.deaths.value_2017,physical.inactivity.value_2014,physical.inactivity.value_2015,physical.inactivity.value_2016,physical.inactivity.value_2017,poor.mental.health.days.value_2014,poor.mental.health.days.value_2015,poor.mental.health.days.value_2016,poor.mental.health.days.value_2017,poor.or.fair.health.value_2014,poor.or.fair.health.value_2015,poor.or.fair.health.value_2016,poor.physical.health.days.value_2014,poor.physical.health.days.value_2015,poor.physical.health.days.value_2016,poor.physical.health.days.value_2017,premature.age.adjusted.mortality.value_2014,premature.age.adjusted.mortality.value_2015,premature.age.adjusted.mortality.value_2016,premature.age.adjusted.mortality.value_2017,premature.death.value_2014,premature.death.value_2015,premature.death.value_2016,premature.death.value_2017,preventable.hospital.stays.value_2014,preventable.hospital.stays.value_2015,preventable.hospital.stays.value_2016,preventable.hospital.stays.value_2017,some.college.value_2014,some.college.value_2015,some.college.value_2016,some.college.value_2017,unemployment.value_2017
0,0.219,0.219,0.211,0.214,0.265,0.127,0.129,0.124,0.137,12.98,14.15,9.98,11.47,0.133,0.13,18.0,0.14,0.14,76.6,75.2,74.2,75.6,0.63,0.63,42917.0,44833.0,23.15,20.89,19.81,18.42,0.312,0.294,0.293,0.277,4.3,4.3,4.7,4.4,0.205,0.205,0.219,4.3,4.3,4.6,4.5,464.6,459.7,461.0,463.5,9609.0,9508.0,9545.0,9573.0,76.44,71.52,65.43,61.13,0.574,0.58,0.584,0.59,0.061
1,0.217,0.217,0.187,0.174,0.188,0.118,0.121,0.109,0.13,7.82,9.64,7.42,8.23,0.151,0.15,16.0,0.13,0.12,69.6,73.3,76.4,76.2,0.67,0.69,54366.0,56580.0,23.92,21.25,19.72,18.94,0.294,0.279,0.287,0.286,3.6,3.6,4.3,4.2,0.228,0.228,0.194,5.1,5.1,4.4,4.2,439.5,431.9,456.4,468.4,8376.0,8405.0,9215.0,9158.0,75.15,79.74,62.38,58.59,0.547,0.56,0.565,0.597,0.052
2,0.206,0.206,0.186,0.179,0.196,0.118,0.115,0.109,0.104,16.03,17.18,14.71,15.29,0.151,0.154,16.0,0.12,0.12,76.2,74.5,70.2,71.5,0.67,0.66,49626.0,52387.0,19.98,16.57,15.9,15.32,0.276,0.252,0.252,0.223,3.8,3.8,4.2,4.0,0.127,0.127,0.16,3.3,3.3,4.1,3.7,365.0,360.8,356.0,361.3,7770.0,7457.0,7455.0,7394.0,54.27,51.36,49.28,47.61,0.618,0.625,0.623,0.629,0.055
3,0.259,0.259,0.21,0.199,0.293,0.111,0.127,0.125,0.148,14.79,14.79,16.58,18.93,0.138,0.143,21.0,0.13,0.13,98.1,80.8,74.7,81.4,0.62,0.62,39546.0,40767.0,33.79,25.87,23.92,22.04,0.37,0.332,0.332,0.339,5.1,5.1,4.6,4.4,0.179,0.179,0.22,4.7,4.7,4.8,4.4,541.8,539.7,541.7,521.0,11544.0,10729.0,11008.0,11766.0,89.56,70.85,73.81,77.35,0.442,0.5,0.489,0.502,0.066
4,0.213,0.213,0.194,0.21,0.222,0.14,0.132,0.117,0.141,24.22,20.78,13.0,18.3,0.141,0.139,18.0,0.13,0.13,89.3,91.9,88.5,96.6,0.63,0.6,45567.0,50487.0,28.3,25.57,24.67,20.82,0.35,0.298,0.285,0.28,3.9,3.9,4.5,4.5,0.242,0.242,0.207,5.9,5.9,4.6,4.5,426.2,430.5,430.3,445.4,8506.0,8669.0,8656.0,9333.0,90.97,84.79,62.87,63.02,0.463,0.492,0.491,0.512,0.054
5,0.305,0.305,0.184287377451,0.178976716418,0.223788059701,0.16,0.161,0.106286151961,0.110588656716,17.1416605392,18.0768537313,7.53,8.94,0.167385416667,0.168248358209,13.0742331288,0.118764179104,0.118531343284,70.8,82.9,73.10625,76.4804776119,0.58,0.6,,,28.73,21.32,16.2010729614,15.3734369396,0.369,0.373,0.262983455882,0.251965970149,3.5,3.5,3.79540441176,3.88,0.199,0.199,0.167535539216,3.9,3.9,3.85306372549,3.95426865672,553.0,528.1,384.387438725,391.008661888,11006.0,10357.0,,,128.3,116.92,60.6736134969,56.7150089659,0.462,0.444,0.582615196078,0.586505074627,0.0567134328358
6,0.244,0.244,0.238,0.203,0.307,0.139,0.132,0.126,0.149,9.43,13.21,11.18,12.06,0.129,0.147,21.0,0.14,0.14,78.4,77.9,72.7,77.0,0.55,0.57,41123.0,42091.0,22.73,17.54,17.39,15.48,0.333,0.332,0.336,0.313,5.1,5.1,4.9,4.7,0.227,0.227,0.223,5.2,5.2,4.9,4.9,532.3,527.2,520.7,550.4,11097.0,10539.0,10352.0,10717.0,91.53,84.63,77.25,71.0,0.508,0.513,0.537,0.54,0.07
7,0.241,0.241,0.184287377451,0.178976716418,0.223788059701,0.15,0.157,0.106286151961,0.110588656716,17.1416605392,18.0768537313,9.44,9.96,0.167385416667,0.168248358209,13.0742331288,0.118764179104,0.118531343284,77.5,78.3,73.10625,76.4804776119,0.66,0.62,,,27.08,28.22,16.2010729614,15.3734369396,0.387,0.353,0.262983455882,0.251965970149,4.3,4.3,3.79540441176,3.88,0.385,0.385,0.167535539216,5.0,5.0,3.85306372549,3.95426865672,531.1,567.2,384.387438725,391.008661888,10368.0,11864.0,,,88.79,66.66,60.6736134969,56.7150089659,0.471,0.477,0.582615196078,0.586505074627,0.0567134328358
8,0.244,0.244,0.198,0.184,0.302,0.136,0.137,0.125,0.133,19.17,14.08,12.89,16.61,0.133,0.131,21.0,0.14,0.13,80.9,82.6,90.7,105.2,0.6,0.61,38013.0,39144.0,25.78,24.37,25.92,28.02,0.342,0.298,0.31,0.335,5.2,5.2,4.7,4.5,0.242,0.242,0.198,6.1,6.1,4.6,4.5,466.5,499.1,528.2,522.7,9409.0,10513.0,12007.0,12534.0,100.16,87.44,81.36,78.66,0.535,0.535,0.544,0.526,0.054
9,0.201,0.201,0.212,0.201,0.281,0.125,0.132,0.118,0.133,12.15,15.17,18.39,18.79,0.14,0.142,17.0,0.14,0.14,99.3,83.9,86.4,90.2,0.61,0.67,41450.0,42767.0,36.11,30.34,26.57,23.15,0.315,0.318,0.32,0.304,4.9,4.9,4.6,4.5,0.205,0.205,0.208,4.6,4.6,4.6,4.7,521.7,530.5,534.1,532.2,10330.0,10911.0,10790.0,10678.0,79.7,62.6,73.79,52.45,0.433,0.389,0.394,0.402,0.057
